timestamp,latency_sum,latency_count,latency_p95,latency_p99,error_rate,error_count,active_requests,memory_bytes,heap_used_bytes,heap_total_bytes,cpu_usage,event_loop_lag_sec,avg_latency_ms,heap_utilization,memory_growth_rate,cpu_x_latency,latency_spike,memory_leak_flag,service,fault_type,is_anomaly
2026-03-11 20:04:40,9309,1506,17.687499999999982,35.24999999999999,0,1,1,10649600,15266088,16855040,0.0032305084745761,0.0092173,6.181274900398407,0.9057283756075334,,0.019968660949421593,0,0,order-service,normal,0
2026-03-11 20:04:45,9316,1507,17.687499999999982,35.24999999999999,0,1,1,9351168,15562000,16855040,0.0034406779661015,0.0070849,6.181818181818182,0.9232846673754557,,0.021269645608627454,0,0,order-service,normal,0
2026-03-11 20:04:50,9319,1508,13.937499999999975,22.787499999999994,0,1,1,10047488,14975808,16855040,0.0034406779661015,0.0040316,6.179708222811671,0.888506227217497,,0.021262385919164375,0,0,order-service,normal,0
2026-03-11 20:04:55,9329,1509,13.937499999999975,22.787499999999994,0,1,1,10457088,15273912,16855040,0.0035491525423727,0.0094242,6.182239893969516,0.9061925691069259,,0.02194171243723984,0,0,order-service,normal,0
2026-03-11 20:05:00,9334,1510,13.937499999999975,22.787499999999994,0,1,1,10813440,15571424,16855040,0.0035999999999998,0.0044393,6.1814569536423845,0.9238437879708384,,0.02225324503311135,0,0,order-service,normal,0
2026-03-11 20:05:05,9339,1511,13.937499999999975,22.787499999999994,0,1,1,11247616,14983928,16855040,0.0034949152542371,0.0050406,6.180675049636003,0.8889879822296476,,0.02160093551245551,0,0,order-service,normal,0
2026-03-11 20:05:10,9342,1512,13.937499999999975,22.787499999999994,0,1,1,11177984,15281048,16855040,0.0034406779661015,0.003827,6.178571428571429,0.9066159439550425,,0.021258474576269983,0,0,order-service,normal,0
2026-03-11 20:05:15,9347,1513,13.937499999999975,22.787499999999994,0,1,1,10366976,15578904,16855040,0.0034949152542371,0.0046126,6.177792465300727,0.924287572144593,,0.021590861124490532,0,0,order-service,normal,0
2026-03-11 20:05:20,9358,1514,16.149999999999984,23.23,0,1,1,10371072,14991256,16855040,0.0034440677966099,0.0108426,6.180977542932629,0.8894227483292831,,0.021287705707183253,0,0,order-service,normal,0
2026-03-11 20:05:25,9364,1515,16.149999999999984,23.23,0,1,1,10596352,15288560,16855040,0.0033355932203388,0.005848,6.18085808580858,0.9070616266707169,,0.020616828326899355,0,0,order-service,normal,0
2026-03-11 20:05:30,9368,1516,16.149999999999984,23.23,0,1,1,8818688,15585592,16855040,0.0033355932203388,0.0040905,6.179419525065963,0.9246843674058324,,0.020612029873439235,0,0,order-service,normal,0
2026-03-11 20:05:35,9377,1517,16.149999999999984,23.23,0,1,1,11841536,15000880,16855040,0.0032847457627116,0.0093614,6.181278839815425,0.8899937348116647,,0.020303929477222593,0,0,order-service,normal,0
2026-03-11 20:05:40,9383,1518,16.149999999999984,23.23,0,1,1,11857920,15296288,16855040,0.0032847457627116,0.0060885,6.181159420289855,0.9075201245443499,,0.020303537214441992,0,0,order-service,normal,0
2026-03-11 20:05:45,9394,1519,17.624999999999986,23.525,0,1,1,8470528,15593368,16855040,0.0034949152542371,0.0107781,6.184331797235023,0.9251457130923451,,0.021613715535420224,0,0,order-service,normal,0
2026-03-11 20:05:50,9404,1520,17.625,23.52500000000001,0,1,1,11866112,15029512,16855040,0.0038135076134559,0.009877,6.186842105263158,0.8916924551944106,,0.02359356947167058,0,0,order-service,normal,0
2026-03-11 20:05:55,9442,1521,20.124999999999996,35.24999999999999,0,1,1,8380416,15325696,16855040,0.0039186440677964,0.0380191,6.2077580539119,0.9092648845686513,,0.024325994272277194,0,0,order-service,normal,0
2026-03-11 20:06:00,9448,1522,20.124999999999996,35.24999999999999,0,1,1,8445952,15623736,16855040,0.0040271186440676,0.0060207,6.207621550591327,0.9269474293742406,,0.024998828481702158,0,0,order-service,normal,0
2026-03-11 20:06:05,9454,1523,20.124999999999996,35.24999999999999,0,1,1,10715136,15018336,16855040,0.0041288135593218,0.0065491,6.207485226526592,0.8910293894289186,,0.02562954917257275,0,0,order-service,normal,0
2026-03-11 20:06:10,9462,1524,20.124999999999996,35.24999999999999,0,1,1,10727424,15316304,16855040,0.0041322033898303,0.0081735,6.208661417322834,0.9087076625151883,,0.025655451754970013,0,0,order-service,normal,0
2026-03-11 20:06:15,9468,1525,20.124999999999996,35.24999999999999,0,1,1,11214848,15614536,16855040,0.0040779661016947,0.006201,6.208524590163934,0.9264015985722964,,0.025318152820226505,0,0,order-service,normal,0
2026-03-11 20:06:20,9473,1526,20.124999999999996,35.24999999999999,0,1,1,10739712,15025464,16855040,0.0040779661016947,0.0040998,6.2077326343381385,0.8914522896415553,,0.02531492325121487,0,0,order-service,normal,0
2026-03-11 20:06:25,9483,1527,20.124999999999996,35.24999999999999,0,1,1,8052736,15322648,16855040,0.0040813559322031,0.0094431,6.210216110019647,0.9090840484507898,,0.025346102360891947,0,0,order-service,normal,0
2026-03-11 20:06:30,9492,1528,20.124999999999982,35.249999999999915,0,1,1,7712768,15620344,16855040,0.0039219674242807,0.0085597,6.212041884816754,0.9267461839307412,,0.024363425910518592,0,0,order-service,normal,0
2026-03-11 20:06:35,9502,1529,20.124999999999996,35.24999999999999,0,1,1,8572928,15055680,16855040,0.0037627118644066,0.0101934,6.214519293655984,0.8932449878493317,,0.023383445477823093,0,0,order-service,normal,0
2026-03-11 20:06:40,9512,1530,20.124999999999996,35.24999999999999,0,1,1,10502144,15353864,16855040,0.0038135593220337,0.0088834,6.216993464052288,0.9109360760935602,,0.023708873379859184,0,0,order-service,normal,0
2026-03-11 20:06:45,9521,1531,20.124999999999996,35.24999999999999,0,1,1,9797632,15651928,16855040,0.0037593220338981,0.0090555,6.218811234487263,0.9286200448055894,,0.02337851409846101,0,0,order-service,normal,0
2026-03-11 20:06:50,9529,1532,20.124999999999996,35.24999999999999,0,1,1,11096064,15065192,16855040,0.0038101694915252,0.0077891,6.219973890339426,0.8938093294349939,,0.02369915475505459,0,0,order-service,normal,0
2026-03-11 20:06:55,9546,1533,20.82142857142856,35.24999999999999,0,1,1,10973184,15363304,16855040,0.0037050847457625,0.0178791,6.227005870841487,0.9114961459599028,,0.023071584463828326,0,0,order-service,normal,0
2026-03-11 20:07:00,9553,1534,20.82142857142856,35.24999999999999,0,1,1,9441280,15661248,16855040,0.0037593220338981,0.0067977,6.227509778357236,0.9291729951397327,,0.02341121472609423,0,0,order-service,normal,0
